model,metric,mean,ci_low,ci_high,n_queries
TF-IDF,Recall@5,0.06537846914599418,0.06129736537975271,0.06952757253300404,10000
TF-IDF,Recall@10,0.07904260827948126,0.07461931970844012,0.08358460307071461,10000
TF-IDF,Recall@20,0.09433384943192105,0.08961680953343346,0.09918760400832531,10000
TF-IDF,Precision@5,0.03636,0.034319499999999996,0.0384,10000
TF-IDF,Precision@10,0.02375,0.0224595,0.02505,10000
TF-IDF,Precision@20,0.015139999999999997,0.014280000000000001,0.015960125000000002,10000
TF-IDF,NDCG@5,0.06361151642556094,0.060113747851303044,0.06723998837394059,10000
TF-IDF,NDCG@10,0.06598694151123627,0.06249063294080924,0.06961176723115337,10000
TF-IDF,NDCG@20,0.07003983680317241,0.0664933297793094,0.07372692112533266,10000
TF-IDF,MRR,0.09531781628131128,0.09052760317639298,0.10030017243887891,10000
BM25,Recall@5,0.08024791228936869,0.07562333169363326,0.08456803739857018,10000
BM25,Recall@10,0.10196925055435989,0.09714802541848735,0.10703738343544278,10000
BM25,Recall@20,0.12490511960777606,0.119396731147993,0.13046618403128749,10000
BM25,Precision@5,0.0443,0.0421995,0.046540000000000005,10000
BM25,Precision@10,0.03085,0.029369500000000003,0.03235,10000
BM25,Precision@20,0.020055,0.01907,0.021045125,10000
BM25,NDCG@5,0.0751643583533745,0.07125298012578601,0.07892597583252586,10000
BM25,NDCG@10,0.08091791792721514,0.07715209414934583,0.08476689078007615,10000
BM25,NDCG@20,0.08715448460400026,0.08324115349889541,0.09103066770084564,10000
BM25,MRR,0.11057984913621571,0.10569065524702444,0.11557614509609662,10000
LSA,Recall@5,0.05439951995363815,0.05059605426540488,0.05834737244911773,10000
LSA,Recall@10,0.06286828203369128,0.058704388014638995,0.06701151668733875,10000
LSA,Recall@20,0.07199261057838352,0.06780873605147532,0.0764214788126723,10000
LSA,Precision@5,0.03052,0.0287,0.03234,10000
LSA,Precision@10,0.01915,0.017960000000000004,0.02034025,10000
LSA,Precision@20,0.011760000000000001,0.011039875000000001,0.012505125,10000
LSA,NDCG@5,0.05468894095319225,0.05132854702743191,0.058152423941271195,10000
LSA,NDCG@10,0.05532419999274863,0.05192521534455932,0.05876794434347436,10000
LSA,NDCG@20,0.05741023637257075,0.054035909270010854,0.060836570347343584,10000
LSA,MRR,0.08224596685541104,0.07774838556685577,0.08713416623191436,10000
MiniLM,Recall@5,0.07953828961074563,0.0751070047093751,0.0839333725544699,10000
MiniLM,Recall@10,0.10336794691869063,0.09858636137055465,0.10840096529566114,10000
MiniLM,Recall@20,0.1302304140439249,0.12481582637076133,0.13574351514408523,10000
MiniLM,Precision@5,0.04334,0.041259500000000005,0.0454605,10000
MiniLM,Precision@10,0.03085,0.02934975,0.03237,10000
MiniLM,Precision@20,0.020065,0.019109875000000002,0.021030125,10000
MiniLM,NDCG@5,0.07473187898959077,0.07101872692800196,0.07861001717437467,10000
MiniLM,NDCG@10,0.08139989690885002,0.07767525107252876,0.08526914431759221,10000
MiniLM,NDCG@20,0.08850928255329354,0.08466697744813714,0.09233041943309607,10000
MiniLM,MRR,0.11257994148128075,0.10772403547368595,0.11752829659023557,10000
